Doença,Sintomas
Gripe,"Febre, dor de cabeça, dor no corpo, tosse, dor de garganta, calafrios"
COVID-19,"Febre, tosse, dificuldade para respirar, cansaço, perda de olfato"
Diabetes tipo 2,"Sede excessiva, urina frequente, cansaço, visão turva, perda de peso"
Artrite Reumatoide,"Dor nas articulações, inchaço, rigidez, fadiga"
Infecção Urinária,"Dor ao urinar, urina turva, dor nas costas, febre"
Hipertensão,"Dor de cabeça, tontura, cansaço, falta de ar, visão borrada"
Asma,"Dificuldade para respirar, chiado no peito, tosse, falta de ar"
Resfriado comum,"Coriza, dor de garganta, tosse, espirros, febre baixa"
Infecção de ouvido,"Dor no ouvido, febre, dificuldade para ouvir, secreção no ouvido"
Bronquite,"Tosse, cansaço, falta de ar, dor no peito, secreção nasal"
Malária,"Febre alta, calafrios, dor de cabeça, suores excessivos, náusea"
Doença cardíaca,"Dor no peito, falta de ar, cansaço, náuseas, suor excessivo"
Acidente Vascular Cerebral (AVC),"Fraqueza em um lado do corpo, dificuldade para falar, perda de visão"
Tuberculose,"Tosse persistente, febre, suores à noite, perda de peso, fadiga"
Anemia,"Fadiga, palidez, falta de ar, tontura, dor no peito"
Doença de Alzheimer,"Perda de memória, confusão, dificuldade para se comunicar, desorientação"
Doença Renal,"Inchaço, cansaço, falta de apetite, urina escura, dificuldade para respirar"
Acne,"Espinhas, cravos, pústulas, inflamação na pele"
Psoríase,"Manchas vermelhas na pele, coceira, escamação, dor nas articulações"
Artrite Psoriática,"Dor nas articulações, rigidez, inchaço, manchas de pele vermelhas"
Depressão,"Tristeza profunda, falta de energia, perda de interesse em atividades, distúrbios do sono"
Ansiedade,"Preocupação excessiva, palpitações, dificuldade para respirar, tremores"
Esquizofrenia,"Alucinações, delírios, perda de contato com a realidade, dificuldade de pensar de forma clara"
Transtorno Bipolar,"Mudanças extremas de humor, euforia, depressão, irritabilidade"
Fibromialgia,"Dor muscular, cansaço, dificuldade para dormir, rigidez nas articulações"
Doença Celíaca,"Diarreia, dor abdominal, fadiga, perda de peso, vômitos"
Hepatite,"Amarelamento da pele, cansaço, febre, dor abdominal, urina escura"
Doença de Crohn,"Dor abdominal, diarreia, perda de peso, fadiga, sangramento retal"
Colite Ulcerativa,"Dor abdominal, diarreia com sangue, fadiga, perda de peso"
Síndrome do Intestino Irritável (SII),"Dor abdominal, diarreia, constipação, inchaço"
Diabetes tipo 1,"Sede excessiva, urina frequente, perda de peso, fadiga, visão turva"
Síndrome de Down,"Desenvolvimento atrasado, dificuldades de aprendizado, atraso na fala"
Síndrome de Turner,"Baixa estatura, infertilidade, problemas cardíacos, dificuldades de aprendizado"
Síndrome de Klinefelter,"Baixa estatura, infertilidade, fraqueza muscular, dificuldades de aprendizado"
Síndrome de Marfan,"Altura elevada, dedos longos, problemas cardíacos, dor nas costas"
Síndrome de Prader-Willi,"Obesidade, dificuldades de aprendizado, atraso no desenvolvimento, hipogonadismo"
Sarampo,"Febre, erupções cutâneas, tosse, coriza, conjuntivite"
Rubéola,"Erupções cutâneas, febre, dor nas articulações, linfadenopatia"
Catapora,"Febre, coceira, erupções cutâneas, dor de cabeça, fadiga"
Herpes Zóster,"Dor, erupções cutâneas, coceira, queimação"
Mononucleose,"Febre, dor de garganta, inchaço nos gânglios, cansaço"
Epilepsia,"Convulsões, perda de consciência, rigidez muscular, espasmos"
Parkinson,"Tremores, rigidez muscular, dificuldade para andar, fala lenta"
Esclerose Múltipla,"Fadiga, problemas de equilíbrio, perda de visão, dificuldades motoras"
Esclerose Lateral Amiotrófica (ELA),"Fraqueza muscular, dificuldade para engolir, cansaço, paralisia"
Encefalite,"Febre, dor de cabeça, náuseas, perda de equilíbrio, confusão"
Meninigite,"Febre, dor de cabeça, rigidez no pescoço, sensibilidade à luz"
